Year,Artist,Title,Reason
2012,Cledus T.Judd,Double D Cups,content - sexual
2013,Cledus T.Judd,Honeymoon,content - sexual
2020,Code Orange,Let Me In [The Fiend Bray Wyatt],violence
2014,Cody Simpson,Surfboard,content - sexual
2016,Coldplay,Hymn For The Weekend,drinking / drugs / partying
2014,Cole Swindell,Chillin' It,drinking / drugs / partying
2021,Conan Gray,Maniac,drinking / drugs / partying
2021,Cordae,Gifted (feat. Roddy Ricch),language
2021,CORPSE,E-GIRLS ARE RUINING MY LIFE!,language
2016,Craig David,When the bassline drops,drinking / drugs / partying
2019,The Cult,Love Removal Machine,content - sexual
2021,Curtis Waters,Stunnin' (feat. Harm Franklin),language
2016,D.R.A.M.,Broccoli,language
2021,DaBaby,Ball If I Want To,language
2021,DaBaby,Find My Way,language
2021,DaBaby,Pick Up (feat. Quavo),language
2021,DaBaby,Red Light Green Light,language
2019,DaBaby,Babysitter,language
2019,DaBaby,Bop,language
2019,DaBaby,Suge,language
2019,DaBaby,Vibez,language
2021,DaBaby,Blind (feat. Young Thug),language
2021,DaBaby,Jump (feat. YoungBoy Never Broke Again),language
2021,DaBaby,Blame it on Baby,language
2021,DaBaby,Lightskin shit (feat. Future & jetsonmade),language
2021,DaBaby,Rockstar (feat. Roddy Ricch),language
2021,DaBaby,Toes (feat. Lil Baby & Moneybagg Yo),language
2019,Daddy Yankee,Con Calma,content - sexual
2014,Daddy's Cash,This Is My Party,language
2013,Daft Punk,Get Lucky,content - sexual
2018,Dan + Shay,Tequila,drinking / drugs / partying
2021,Dave,Verdansk,language
2021,Dave,Clash (feat. Stormzy),language
2011,David Guetta,Where Them Girls At,drinking / drugs / partying
2011,David Guetta,Who's That Chick,drinking / drugs / partying
2015,David Guetta,Hey Mama,content - sexual
2014,David Nail,Whatever she's Got,content - sexual
2015,Dawin,Dessert,drinking / drugs / partying
2015,Daya,Hide Away,content - sexual
2019,D-Block Europe,Nookie ft. Lil Baby,language
2019,D-Block Europe,Playing for Keeps,language
2021,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,language
2021,Demi Lovato,Dancing With The Devil, Drinking / Drugs / Partying
2021,Demi Lovato,I Love Me, Language
2014,Demi Lovato,Neon Lights, Sexual Content
2018,Demi Lovato,Tell Me You Love Me, Sexual Content
2016,Demi Lovato,Body Say, Sexual Content
2015,Demi Lovato,Cool for the Summer, Sexual Content
2016,Desiigner,Panda, Language
2016,Desiigner,Tiimmy Turner, Language
2013,Destiny's Child,Nuclear, Language
2011,Dev,In The Dark, Sexual Content
2016,Dev,#1, Language / Content
2021,dhruv,double take, Sexual Content
2011,Diddy - Dirty Money,Coming Home, Content - sad
2014,Dierks Bentley,Drunk On a Plane, Drinking / Drugs / Partying
2013,Dierks Bentley,Tip it on Back, Drinking / Drugs / Partying
2019,Dimitri Vegas,Instagram (Bassjackers Remix) FT. David Guetta & Daddy Yan, Language
2020,Dixie D'Amelio,Be Happy, content - Sad
2013,Dizzee Rascal,bassline Junkie, Language
2018,DJ Khaled,No Brainer, Language
2021,DJ Khaled,Every chance I Get (feat. Lil Baby & Lil Durk), Language
2021,DJ Khaled,I Did it, Language
2021,DJ Khaled,Let it Go (feat. Justin Bieber & 21 Savage), Language
2019,DJ Mustard,Pure Water,language
2012,DJ Scream,Hoodrich Anthem,language
2019,DJ Snake,Loco Contigo ft. J Balvin & Tyga,drinking / drugs / partying
2019,DJ Snake,Taki Taki,language
2021,DJ Snake,Selfish Love (with Selena Gomez),content - sexual
2016,Dlow,Bet You Can't Do It Like Me,content - sexual
2021,DMX,Ruff Ryders' Anthem,language
2021,DMX,X Gon' Give It To Ya,language
2016,DNCE,Toothbrush,content - sexual
2016,DNCE,Cake By The Ocean,content - sexual
2021,Doja Cat,Say So (feat. Nicki Minaj),language
2019,Doja Cat,Candy,language
2021,Doja Cat,Boss Bitch,language
2021,Doja Cat,I Don't Do Drugs (feat. Ariana Grande),language
2021,Doja Cat,Payday (feat. Young Thug),language
2021,Doja Cat,Streets,language
2021,Doja Cat,Ain't Shit,language
2021,Doja Cat,Been Like This,language
2021,Doja Cat,Freak,language
2021,Doja Cat,Get Into It (Yuh),language
2021,Doja Cat,Kiss Me More (feat. SZA),language
2021,Doja Cat,Like That (feat. Gucci Mane),language
2021,Doja Cat,Need To Know,language
2021,Doja Cat,Woman,language
2021,Doja Cat,Naked,content - sexual
2020,Doja Cat & Tyga,Juicy,language
2021,Doja Cat,You Right,language
2019,Dominic Fike,3 Nights,language
2021,Don Toliver,After Party,drinking / drugs / partying
2021,Don Toliver,Cardigan,language
2021,Don Toliver,Had Enough (feat. Quavo & Offset),language
2021,Don Toliver,No Idea,language
2021,Don Toliver,What You Need,content - sexual
2015,Dozay,Salsa,language
2011,Dr. Dre,I Need A Doctor,language
2016,Drake,Controlla [ft popcaan],drinking / drugs / partying
2014,Drake,0 to 100 / The Catch Up,language
2015,Drake,Back to Back,language
2017,Drake,Fake Love,language
2018,Drake,God's Plan,language
2011,Drake,Headlines,language
2018,Drake,In My Feelings,language
2019,Drake,Money In The Grave,language
2018,Drake,Nice For What,language
2018,Drake,Nonstop,language
2016,Drake,Right Hand,language
2013,Drake,Started From The Bottom,language
2014,Drake,The Language,language
2021,Drake,When To Say When,language
2021,Drake,Demons (feat. Fivio Foreign & Sosa Geek),language
2021,Drake,Not You Too (feat. Chris Brown),language
2021,Drake,Time Flies,language
2021,Drake,Deep Pockets,language
2021,Drake,Desires (with Future),language
2021,Drake,Landed,language
2021,Drake,Lemon Pepper Freestyle (feat. Rick Ross),language
2021,Drake,Pain 1993 (with Playboi Carti),language
2021,Drake,Wants and Needs (feat. Lil Baby),language
2021,Drake,War,language
2021,Drake,What's Next,language
2021,Drake,Chicago Freestyle (feat. Giveon),language
2021,Drake,From Florida With Love,language
2021,Drake,Losses,language
2015,Drake,Hotline Bling,content - sexual
2018,Drake,I'm Upset,content - sexual
2014,Drake,Worst Behavior,language
2020,Drake,Toosie Slide,language
2016,Drake,Big Rings,language
2016,Drake,Jumpman,language
2016,Drake,Where Ya At,language
2012,Drake,The Motto,language
2013,Drake,"Hold On, We're Going Home",language
2012,Drake,Take Care,content - sad
2016,Drake,Too Good,content - sexual
2016,Drake,Pop Style,language
2020,Drake,Laugh Now Cry Later,language
2014,Drake,All Me,language
2011,Drake,Un-Thinkable (I'm Ready),language
2021,Drake,One Dance,drinking / drugs / partying
2021,Dream,Mask,language
2021,DripReport,Skechers,language
2019,Dua Lipa,Don't Start Now,content - sad
2021,Dua Lipa,We're Good,content - sad
2018,Dua Lipa,New Rules,content - sad
2016,Dua Lipa,Blow Your Mind (Mwah),language
2018,Dua Lipa,IDGAF,language
2021,Dua Lipa,Levitating (feat. DaBaby),language
2021,Dua Lipa,Good In Bed,content - sexual
2021,Dua Lipa,Hallucinate,content - sexual
2021,Dua Lipa,Physical,content - sexual
2021,Eminem,Little Engine, Language / Content
2021,Eminem,Lock It Up (feat. Anderson .Paak), Language / Content
2021,Eminem,Marsh, Language / Content
2021,Eminem,Never Love Again, Language / Content
2021,Eminem,No Regrets, Language / Content
2021,Eminem,Premonition - Intro, Language / Content
2021,Eminem,Stepdad, Language / Content
2021,Eminem,The Real Slim Shady, Language / Content
2021,Eminem,Those Kinda Nights (feat. Ed Sheeran), Language / Content
2021,Eminem,Unaccommodating (feat. Young M.A), Language / Content
2021,Eminem,Yah Yah, Language / Content
2021,Eminem,You Gon' Learn, Language / Content
2021,Eminem,In Too Deep, Sexual Content
2021,Eminem,Alfred - Interlude, Violence
2020,Eminem,Godzilla, Language / Content
2014,Eminem,The Monster, Language / Content
2015,Empire Cast,No Doubt About It, Drinking / Drugs / Partying
2014,Enrique Iglesias,Bailando, Drinking / Drugs / Partying
2011,Enrique Iglesias,Tonight (I'm Lovin' You), Sexual Content
2014,Enrique Iglesias,I'm a Freak, Language / Content
2011,Enrique Iglesias,Dirty Dancer, Sexual Content
2014,Eric Church,Cold One, Drinking / Drugs / Partying
2012,Eric Church,Drink in my Hand, Drinking / Drugs / Partying
2010,Eric Church,Smoke a little smoke, Drinking / Drugs / Partying
2019,EXCE$$,Bustdown, Language
2011,Far East Movement,Like A G6, Drinking / Drugs / Partying
2019,Fergie,A Little Party Never Killed Nobody,drinking / drugs / partying
2014,Fergie,L.A. Love (La La),language
2015,Fetty Wap,Free Gucci,language
2016,Fetty Wap,Again,language
2015,Fetty Wap,Trap Queen,language
2016,Fetty Wap,679,language
2015,Fetty Wap,My Way,language
2014,Fifth Harmony,Bo$$,language
2016,Fifth Harmony,All In My Head (Flex),content - sexual
2016,Fifth Harmony,Work From Home,content - sexual
2019,FILV & Edmofo,Clandestina,drinking / drugs / partying
2020,Finese 2Tymes,Goin Straight In,language
2015,Five Finger Death Punch,Wrong Side of Heaven,religion
2019,Flipp Dinero,Leave me Alone,language
2014,Flo Rida,How I Feel,drinking / drugs / partying
2012,Flo Rida,Whistle,content - sexual
2012,Flo Rida,I Cry,violence
2012,Flo Rida,Wild Ones (feat. Sia),language
2015,Flo Rida,"I Don't Like It, I Love It",content - sexual
2015,Flo Rida,GDFR (Goin' Down For Real),content - sexual
2016,Flo Rida,Hello Friday,drinking / drugs / partying
2014,Florida Georgia Line,Stay,content - sad
2016,Florida Georgia Line,Confession,content - sad
2015,Florida Georgia Line,Sun Daze,drinking / drugs / partying
2013,Florida Georgia Line,Get Your Shine On,content - sexual
2013,Florida Georgia Line,Cruise,content - sexual
2014,Florida Georgia Line,This Is How We Roll,drinking / drugs / partying
2016,Flume,Say It,drinking / drugs / partying
2016,Flume,Never Be Like You,language
2015,Foo Fighters,Something from Nothing,language
2011,Foster The People,Pumped Up Kicks,violence
2021,Foushee,Deep End,language
1984,Frankie Goes To Hollywood,Relax,content - sexual
2011,FreeSol,Fascinated,content - sexual
2019,French Montana,Writing On The Wall  ft. Post Malone & Cardi B,language
