Year,Artist,Title,Reason
2021,Billie Eilish,bury a friend,content - sad
2020,Billie Eilish,Therefore I Am,language
2021,Billie Eilish,NDA,language
2021,Billie Eilish,Wish you were gay,content - sexual
2012,Birdman ft. Rick Ross,Born Stunna,language
2015,BJ The Chicago Kid feat. ScHoolboy Q,It's True,language
2020,Black Eyed Peas,Pump It,language
2011,Black Eyed Peas,Just Can't Get Enough,language
2020,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),language
2021,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,language
2021,"Black Eyed Peas, Shakira",GIRL LIKE ME,content - sexual
2021,blackbear,me & ur ghost,language
2021,blackbear,if i were u (with Lauv),language
2020,blackbear,Hot Girl Bummer,language
2014,Blackout Ft  Jah-Fu,My Nutty Buddies,content - sexual
2021,BLACKPINK,Lovesick Girls,content - sad
2021,BLACKPINK,Crazy Over You,language
2021,BLACKPINK,Pretty Savage,language
2020,Blackpink,How you like that,language
2021,BLACKPINK,Love To Hate Me,language
2021,BLACKPINK,Ice Cream (with Selena Gomez),language
2021,BLACKPINK,Kill This Love,language
2021,BLACKPINK,Bet You Wanna (feat. Cardi B),content - sexual
2010,Blackstreet ft. Dr.Dre,No Diggity,language
2016,Blake Shelton,Gonna,language
2019,Blake Shelton,God's Country,religion
2020,Blake Shelton Duet With Gwen Stefani,Nobody But You,content - sexual
2013,Blake Shelton ft. Pistol Annies and Friends,Boys 'Round Here,language
2014,Bleachers,I Wanna Get Better,content - sad
2018,BlocBoy JB,Look Alive (feat. Drake),language
2016,Blonde & Craig David,Nothing Like This,content - sexual
2020,Blondie,Heart of Glass,language
2019,Blueface,Thotiana,language
2011,Blush ft. Snoop Dogg,Undivided,content - sexual
2021,"Blxst, Tyga",Chosen (feat. Ty Dolla $ign),language
2021,Bo Burnham,All Eyes On Me,language
2021,Bo Burnham,Bezos I,language
2012,Bob Sinclair ft. Snoop Dogg,Wild Thing,content - sexual
2015,"Bobby Brackins ft. IamSu, Too Short & Mila J",Hot Box,language
2011,Bow Wow ft. Lil Wayne,Sweat,language
2014,Brantley Gilbert,Bottoms Up,language
2021,Brent Faiyaz,Wasting Time ( feat. Drake ),language
2021,"Brent Faiyaz, DJ Dahi","Gravity (feat. Tyler, The Creator)",language
2016,Brett Eldredge,Drunk on your Love,drinking / drugs / partying
2019,Brett Young,Here Tonight,content - sexual
2021,Bring Me The Horizon,Can You Feel My Heart,language
2021,Bring Me The Horizon,Parasite Eve,language
2013,Britney Spears,Work Bitch,language
2011,Britney Spears,Hold It Against Me,content - sexual
2011,Britney Spears,I Wanna Go,content - sexual
2016,Britney Spears f./Tinashe,Slumber Party,language
2016,Britney Spears ft G-Eazy,Make Me,language
2021,BROCKHAMPTON,SUGAR,language
2021,Bruno Mars,Runaway baby,content - sensitive topic
2016,Bruno Mars 24K Magic,,language
2018,Bruno Mars Finesse (Remix) [feat. Cardi B],,language
2011,Bruno Mars The Lazy Song,,content - sexual
2013,Bruno Mars Locked out of Heaven,,content - sexual
2013,Bruno Mars Treasure,,content - sexual
2014,Bruno Mars Young Girls,,violence
2021,"Bruno Mars, Anderson .Paak, Silk Sonic Leave The Door Open",,drinking / drugs / partying
2016,Bryson Tiller Don't,,language
2016,Bryson Tiller Exchange,,language
2016,Bryson Tiller Sorry Not Sorry,,language
2021,Bryson Tiller Outta Time (feat. Drake),,content - sexual
2021,BTS Louder than bombs,,content - sad
2021,BTS ON (Feat. Sia),,content - sad
2021,BTS Dis-ease,,content - sensitive topic
2021,BTS Fly To My Room,,drinking / drugs / partying
2021,BTS Interlude : Shadow,,drinking / drugs / partying
2021,BTS Black Swan,,content - sexual
2021,BTS UGH!,,violence
2014,"Busta Rhymes ft. Z-Tip, Kanye West & Lil WaynThank You",,drinking / drugs / partying
2012,Ca$h Out Cashin' Out,,language
2019,Cadet & Deno Driz Advice,,language
2019,Calboy Envy Me,,language
2021,Calvin Harris Over Now (with The Weeknd),,language
2021,Calvin Harris One Kiss (with Dua Lipa),,content - sexual
2015,Calvin Harris & Disciples How Deep is Your Love,,content - sexual
2018,Camila Cabello Never Be the Same,,drinking / drugs / partying
2021,Camila Cabello Don't Go Yet,,content - sexual
2021,Camila Cabello Liar,,content - sexual
2019,Camila Cabello Shameless,,content - sexual
2019,Camila Cabello Living Proof,,content - sexual
2020,Camila Cabello Featuring DaBaby,My Oh My,language
2020,Camila Cabello ft. Young Thug,Havana,content - sexual
2018,Cardi B,Be Careful,language
2018,Cardi B,Bodak Yellow,language
2018,Cardi B,I Like It,language
2019,Cardi B,Money,language
2019,Cardi B,Please Me,language
2021,Cardi B,Up,language
2020,Cardi B Featuring Megan Thee Stallion,WAP,language
2020,Carly Pearce & Lee Brice,I Hope You're Happy Now,content - sad
2012,Carrie Underwood,Blown Away,violence
2016,Cash Cash & Digital Farm Animals f./Nelly,Millionaire,content - sexual
2016,Cashmere Cat f./Selena Gomez & Tory Lanez,Trust Nobody,language
2019,C-BooL,Catch You,content - sad
2011,Cee Lo Green,F**K You (Forget You),language
2016,Chainsmokers ft Halsey,Closer,drinking / drugs / partying
2015,Chainsmokers ft Rozes,Roses,drinking / drugs / partying
2014,Charli XCX,Break The Rules,drinking / drugs / partying
2016,Charli XCX f./Lil Yachty,After The Afterparty,drinking / drugs / partying
2015,Charli XCX ft. Rita Ora,Doing It,content - sexual
2015,Charlie Puth ft. Meghan Trainor,Marvin Gaye,content - sexual
2016,Charly Black,Gyal You A Party Animal,content - sexual
2016,Cheat Codes X Kris Kross Amsterdam,Sex,content - sexual
2012,Cher Lloyd,Want U Back,content - sexual
2012,Chief Keef,I Don't Like,language
2012,Chief Keef,Love Sosa,language
2018,Childish Gambino,This Is America,violence
2016,Childish Gambino,Redbone,language
2009,Chingy,Right Thurr,language
2011,Chris Brown,Yeah 3x,drinking / drugs / partying
2015,Chris Brown,Zero,drinking / drugs / partying
2016,Chris Brown,Back To Sleep,language
2011,Chris Brown,She Ain't You,content - sexual
2019,Chris Brown,Undecided,drinking / drugs / partying
2020,Chris Brown & Young Thug,Go Crazy,language
2020,Chris Brown Featuring Drake,No Guidance,language
2015,Chris Brown ft Tyga,Ayo,language
2014,Chris Brown ft Usher & Rick Ross,New Flame,language
2011,Chris Brown ft. Lil Wayne and Busta Rhymes,Look At Me Now,language
2014,Chris Brown ft. Nicki Minaj,Love More,language
2015,Chris Brown ft. Tyga and ScHoolboy Q,Bitches and Marijuana,language
2012,Chris Cagle,Let there be Cowgirls,religion
2015,Ciara,I Bet,language
2019,City Girls,Act Up,language
2019,City Girls,Twerk,language
2021,CJ,Whoopty,language
2021,"Clean Bandit, Mabel",Tick Tock (feat. 24kGoldn),content - sexual
2010,Cledus T.Judd,Tiger by the Tail,language
2012,Cledus T.Judd,Double D Cups,content - sexual
2013,Cledus T.Judd,Honeymoon,content - sexual
2020,Code Orange,Let Me In [The Fiend Bray Wyatt],violence
2014,Cody Simpson,Surfboard,content - sexual
2016,Coldplay ft. Beyonce,Hymn For The Weekend,drinking / drugs / partying
2014,Cole Swindell,Chillin' It,drinking / drugs / partying
2021,Conan Gray,Maniac,drinking / drugs / partying
2021,Cordae,Gifted (feat. Roddy Ricch),language
2021,"CORPSE, Savage Ga$p",E-GIRLS ARE RUINING MY LIFE!,language
2016,Craig David ft. Big Narstie,When the bassline drops,drinking / drugs / partying
,"Cult, the",Love Removal Machine,content - sexual
2021,Curtis Waters,Stunnin' (feat. Harm Franklin),language
2016,D.R.A.M. feat. Lil Yachty,Broccoli,language
2021,DaBaby,Ball If I Want To,language
2021,DaBaby,Find My Way,language
2021,DaBaby,Pick Up (feat. Quavo),language
2021,DaBaby,Red Light Green Light,language
2019,DaBaby,Babysitter,language
2019,DaBaby,Bop,language
2019,DaBaby,Suge,language
2019,DaBaby,Vibez,language
2021,DaBaby,Blind (feat. Young Thug),language
2021,DaBaby,Jump (feat. YoungBoy Never Broke Again),language
2021,DaBaby,Blame it on Baby,language
2021,DaBaby,Lightskin sh*t (feat. Future & jetsonmade),language
2021,DaBaby,Rockstar (feat. Roddy Ricch),language
2021,DaBaby,Toes (feat. Lil Baby & Moneybagg Yo),language
2019,Daddy Yankee,Con Calma,content - sexual
2014,Daddy's Cash,This Is My Party,language
